tg_id;id;balance_ap;15353931;20000000;pos
1450897885;84264;76969;0,005012983;100259,6664;1
1206317199;102126;63815;0,004156265;83125,29215;2
2110882097;10200;46391;0,003021441;60428,82438;3
6951732703;161873;28983;0,00188766;37753,19819;4
97767447;203581;20100;0,001309111;26182,22005;5
5481417583;3259;18041;0,001175009;23500,17074;6
7170611946;211114;17806;0,001159703;23194,06021;7
7287933019;140150;17641;0,001148957;22979,13153;8
5802197077;183634;17106;0,001114112;22282,2416;9
5145409898;6439;17064;0,001111377;22227,53248;10
330642678;63220;16762;0,001091707;21834,14788;11
1881848398;4962;15511;0,00101023;20204,59777;12
5003516796;8803;14164;0,0009225;18449,99824;13
6239134755;227697;13858;0,00090257;18051,40325;14
7268543439;211039;12755;0,000830732;16614,63765;15
7327607589;211084;12735;0,000829429;16588,58569;16
7238767042;211095;12305;0,000801423;16028,46854;17
7036460405;211102;12184;0,000793543;15870,85418;18
6491579947;211028;11577;0,000754009;15080,17719;19
5133402986;68180;11423;0,000743979;14879,57709;20
7349567334;211048;10453;0,000680803;13616,05702;21
1775573277;26521;10407;0,000677807;13556,13751;22
6411420279;56968;9610;0,000625898;12517,9669;23
1628738692;52777;9233;0,000601344;12026,88745;24
2071470973;181052;9171;0,000597306;11946,12637;25
29423926;921;8702;0,00056676;11335,2079;26
880050489;140057;8616;0,000561159;11223,18447;27
5341174914;210165;7872;0,000512703;10254,05155;28
725589108;49677;7607;0,000495443;9908,863079;29
921295742;139566;7595;0,000494662;9893,231903;30
7214117106;136347;7578;0,000493554;9871,087736;31
5876714731;8991;7562;0,000492512;9850,246168;32
7303678337;198079;7066;0,000460208;9204,157554;33
54402788;99702;6986;0,000454997;9099,949713;34
194984156;90;6905;0,000449722;8994,439274;35
6748726308;61484;6460;0,000420739;8414,783159;36
108198234;25773;6237;0,000406215;8124,303802;37
5030706200;211127;6210;0,000404457;8089,133656;38
922453307;49407;6207;0,000404261;8085,225862;39
1902380119;57200;6061;0,000394752;7895,046552;40
483188503;7256;5874;0,000382573;7651,460724;41
5436867060;87529;5799;0,000377688;7553,765873;42
1377563239;155292;5761;0,000375213;7504,267148;43
1391010172;49954;5553;0,000361666;7233,326762;44
5422147404;53844;5453;0,000355153;7103,066961;45
1722806134;2091;5095;0,000331837;6636,736872;46
733415198;58105;5068;0,000330078;6601,566726;47
7149709602;194184;5049;0,000328841;6576,817364;48
6386011602;3390;5005;0,000325975;6519,503051;49
184451792;109675;4976;0,000324086;6481,727709;50
453083865;74752;4927;0,000320895;6417,900406;51
1598377470;15327;4919;0,000320374;6407,479622;52
319761800;42837;4905;0,000319462;6389,24325;53
515271204;14899;4863;0,000316727;6334,534133;54
1657861363;15054;4843;0,000315424;6308,482173;55
6982543460;6593;4778;0,000311191;6223,813302;56
873774603;78836;4726;0,000307804;6156,078206;57
1547745705;524;4687;0,000305264;6105,276883;58
